Country,Year,Suicide_Rate
Lithuania,2013,38.658503606
Latvia,2013,20.026520761
Kyrgyzstan,2013,8.898288177
Kuwait,2013,1.147145147
Kazakhstan,2013,23.081904878
Japan,2013,21.566788921
Italy,2013,7.460437379
Israel,2013,5.148070691
Ireland,2013,11.520143219
Iceland,2013,16.308544346
Hungary,2013,22.175487394
Guyana,2013,30.707725333
Guatemala,2013,3.335317909
Grenada,2013,0
Greece,2013,5.109627391
Germany,2013,13.059235117
Georgia,2013,3.744693031
France,2013,16.024017599
Finland,2013,17.272156019
Estonia,2013,17.536859583
El Salvador,2013,8.555393522
Ecuador,2013,4.809808708
Denmark,2013,11.510089820
Czech Republic,2013,15.870332240
Cyprus,2013,5.534946422
Cuba,2013,13.889030446
Croatia,2013,17.109836994
Costa Rica,2013,7.153982456
Colombia,2013,4.748968558
Chile,2013,10.700491878
Canada,2013,12.168752684
Bulgaria,2013,10.418105598
Brazil,2013,5.608164079
Belize,2013,5.557589706
Belgium,2013,18.002785254
Belarus,2013,21.346226364
Barbados,2013,0
Bahrain,2013,0.411694766
Bahamas,2013,1.432833084
Austria,2013,15.978484123
Australia,2013,12.073973458
Armenia,2013,2.383778353
Argentina,2013,7.686740244
Antigua and Barbuda,2013,0
Uzbekistan,2012,6.955544782
Uruguay,2012,19.004174890
United States,2012,13.863469644
United Kingdom,2012,7.442810193
Ukraine,2012,21.106379251
Turkmenistan,2012,2.942394316
Turkey,2012,2.102167089
Thailand,2012,6.599621031
Switzerland,2012,13.665822712
Sweden,2012,12.895426694
Suriname,2012,27.312080564
Spain,2012,7.985313882
South Africa,2012,1.025603097
Slovenia,2012,22.610622470
Slovakia,2012,11.159052258
Singapore,2012,10.794140324
Seychelles,2012,3.693489609
Serbia,2012,18.100604412
Saint Vincent and Grenadines,2012,9.983327843
Saint Lucia,2012,6.099792607
Russian Federation,2012,22.011825451
Romania,2012,13.102894642
Republic of Korea,2012,29.485026182
Qatar,2012,2.146620147
Puerto Rico,2012,7.141474922
Portugal,2012,10.728462611
Poland,2012,17.682284556
Paraguay,2012,4.828557246
Panama,2012,3.976150168
Norway,2012,10.942116205
Nicaragua,2012,6.017393695
New Zealand,2012,13.322429487
Netherlands,2012,11.086206430
Mexico,2012,4.920051900
Mauritius,2012,9.741247066
Malta,2012,6.263497838
Luxembourg,2012,10.178746777
Lithuania,2012,32.666495171
Latvia,2012,22.987065634
Kyrgyzstan,2012,10.623717652
Kuwait,2012,1.601510911
Kazakhstan,2012,21.566142594
Japan,2012,21.814718184
Italy,2012,7.495366897
Israel,2012,6.060298561
Ireland,2012,12.841149297
Iceland,2012,12.447937343
Hungary,2012,24.848778416
Guyana,2012,30.322835156
Guatemala,2012,3.149505921
Grenada,2012,2.095864859
Greece,2012,4.819824889
Germany,2012,12.605066368
Georgia,2012,2.475659978
France,2012,16.336774105
Finland,2012,17.082644386
Fiji,2012,4.087163879
Estonia,2012,18.935293229
El Salvador,2012,9.112228664
Ecuador,2012,7.064344379
Denmark,2012,12.541411799
Czech Republic,2012,16.708442812
Cyprus,2012,4.420947925
Cuba,2012,13.880461834
Croatia,2012,19.140191047
Costa Rica,2012,7.039282459
Colombia,2012,4.921513130
Chile,2012,11.452390125
Canada,2012,11.910975560
Bulgaria,2012,12.529362100
Brazil,2012,5.547137563
Belize,2012,6.021154322
Belgium,2012,19.401229785
Barbados,2012,0
Bahrain,2012,1.580990832
Bahamas,2012,1.455358338
Austria,2012,15.887886308
Australia,2012,12.147516617
Armenia,2012,2.807092350
Argentina,2012,8.449140932
Antigua and Barbuda,2012,0
Uzbekistan,2011,6.313022198
United States,2011,13.608721527
United Kingdom,2011,7.460702833
Ukraine,2011,20.831209605
Turkmenistan,2011,2.810145490
Turkey,2011,1.687382744
Trinidad and Tobago,2011,11.235174016
Thailand,2011,6.426953631
Switzerland,2011,13.753584711
Sweden,2011,12.515977005
Suriname,2011,26.374758318
Spain,2011,7.286463485
South Africa,2011,0.764847130
Slovenia,2011,22.370087644
Singapore,2011,8.553417201
Seychelles,2011,6.194481955
Serbia,2011,18.202827322
Saint Vincent and Grenadines,2011,4.998150684
Saint Lucia,2011,4.911229526
Russian Federation,2011,23.034471542
Romania,2011,12.497720127
Republic of Korea,2011,33.277531158
Qatar,2011,2.696753810
Puerto Rico,2011,7.423823799
Portugal,2011,10.106515920
Poland,2011,16.976671199
Philippines,2011,2.908490032
Paraguay,2011,5.311470513
Panama,2011,4.318888750
Norway,2011,12.878771563
Nicaragua,2011,7.126412319
New Zealand,2011,12.052434201
Netherlands,2011,10.461470025
Mexico,2011,5.162783742
Mauritius,2011,10.056658190
Malta,2011,5.045115949
Maldives,2011,0.586479306
Luxembourg,2011,11.249330154
Lithuania,2011,35.349615686
Latvia,2011,22.522395707
Kyrgyzstan,2011,9.670389596
Kuwait,2011,1.229865453
Kazakhstan,2011,22.897191543
Japan,2011,23.787905100
Jamaica,2011,1.922310217
Italy,2011,7.336140380
Israel,2011,5.866747376
Ireland,2011,13.131543698
Iceland,2011,9.137828920
Hungary,2011,25.487068946
Guyana,2011,28.432523846
Guatemala,2011,2.757859477
Grenada,2011,1.051502597
Greece,2011,4.446008677
Germany,2011,12.955024005
Georgia,2011,2.355684576
France,2011,17.538230030
Finland,2011,17.931629763
Fiji,2011,4.894857180
Estonia,2011,17.447998162
El Salvador,2011,8.682754528
Ecuador,2011,6.758172917
Denmark,2011,11.231562789
Czech Republic,2011,16.050363011
Cyprus,2011,3.746160186
Cuba,2011,14.225857492
Croatia,2011,16.758060161
Costa Rica,2011,7.460723775
Colombia,2011,4.805080973
Chile,2011,12.739787853
Canada,2011,11.430176979
Cabo Verde,2011,9.288357044
Bulgaria,2011,10.812684483
Brazil,2011,5.348029150
Bosnia and Herzegovina,2011,0.136116943
Belize,2011,11.314466746
Belgium,2011,20.163926542
Belarus,2011,24.275425491
Barbados,2011,0
Bahrain,2011,1.631229712
Bahamas,2011,1.182092481
Austria,2011,16.109774606
Australia,2011,11.454890860
Aruba,2011,9.425268097
Armenia,2011,2.509019363
Argentina,2011,7.659985250
Uzbekistan,2010,5.707205616
Uruguay,2010,17.491092973
United States,2010,13.327582483
United Kingdom,2010,7.170799559
United Arab Emirates,2010,1.415864004
Ukraine,2010,20.992309156
Turkmenistan,2010,3.911069315
Turkey,2010,2.275471473
Trinidad and Tobago,2010,12.997541840
Thailand,2010,6.292479254
Switzerland,2010,13.523055802
Sweden,2010,12.931926047
Suriname,2010,28.568307664
Spain,2010,7.243890840
South Africa,2010,0.851087790
Slovenia,2010,21.287820590
Slovakia,2010,12.258230207
Singapore,2010,8.275553567
Seychelles,2010,7.152649461
Serbia,2010,17.379732467
Saint Vincent and Grenadines,2010,4.997501249
Saint Lucia,2010,2.476734178
Russian Federation,2010,24.732700025
Romania,2010,13.593040010
Republic of Korea,2010,32.685824997
Qatar,2010,2.781736656
Puerto Rico,2010,8.217495853
Portugal,2010,10.917260477
Poland,2010,17.644712106
Philippines,2010,2.556760074
Paraguay,2010,4.029123153
Panama,2010,4.611510758
Oman,2010,0.472995590
Norway,2010,11.957533301
Nicaragua,2010,6.872344920
New Zealand,2010,13.216717175
Netherlands,2010,10.222154046
Mexico,2010,4.588392438
Mauritius,2010,8.412515419
Malta,2010,7.849114696
Maldives,2010,0.301605446
Luxembourg,2010,11.297567466
Lithuania,2010,34.511551369
Latvia,2010,22.033234972
Kyrgyzstan,2010,10.335797663
Kuwait,2010,1.188439591
Kazakhstan,2010,24.529049388
Japan,2010,24.281072898
Jamaica,2010,0.115980039
Italy,2010,6.920800280
Israel,2010,7.007478293
Ireland,2010,11.395458277
Iceland,2010,15.613332428
Hungary,2010,26.161432541
Guyana,2010,30.513898709
Guatemala,2010,2.775554399
Grenada,2010,0
Greece,2010,3.511751419
Germany,2010,12.801684033
Georgia,2010,2.670608994
France,2010,17.574759996
Finland,2010,18.840745146
Estonia,2010,17.779903925
El Salvador,2010,7.175674356
Ecuador,2010,6.826201687
Denmark,2010,10.790019136
Czech Republic,2010,15.102652285
Cyprus,2010,4.827965610
Cuba,2010,14.525658018
Croatia,2010,18.458773305
Costa Rica,2010,7.431900729
Colombia,2010,5.017968591
Chile,2010,12.703268968
Canada,2010,12.237449258
Bulgaria,2010,11.992617350
Brazil,2010,5.191331251
Belize,2010,5.285486758
Belgium,2010,19.713703747
Belarus,2010,27.379436117
Barbados,2010,1.145357294
Bahrain,2010,1.667895642
Bahamas,2010,2.995186735
Austria,2010,15.862615693
Australia,2010,11.608080318
Aruba,2010,7.367955708
Armenia,2010,2.727722819
Argentina,2010,7.831615425
Albania,2010,3.508739869
Uzbekistan,2009,5.532245955
Uruguay,2009,16.408150002
United States,2009,12.939983005
United Kingdom,2009,7.318978655
United Arab Emirates,2009,1.709759972
Ukraine,2009,22.303623881
Turkmenistan,2009,3.679367024
Turkey,2009,1.591815485
Trinidad and Tobago,2009,10.448152269
Thailand,2009,6.366448042
Switzerland,2009,15.004294895
Sweden,2009,14.184685519
Suriname,2009,27.845798048
Spain,2009,7.884555574
South Africa,2009,0.815663404
Slovenia,2009,23.017069191
Slovakia,2009,11.688641053
Singapore,2009,9.869630384
Seychelles,2009,4.794495919
Serbia,2009,19.703684144
Saint Vincent and Grenadines,2009,1.000730533
Saint Lucia,2009,8.134150920
Russian Federation,2009,27.898630868
Romania,2009,12.682139007
Republic of Korea,2009,32.507375419
Qatar,2009,2.920388226
Puerto Rico,2009,9.470582934
Portugal,2009,10.199088192
Poland,2009,17.880705959
Philippines,2009,2.554380501
Paraguay,2009,5.186741004
Panama,2009,5.506277312
Oman,2009,0.498552472
Norway,2009,12.655890533
New Zealand,2009,12.768143482
Netherlands,2009,9.806324451
Montenegro,2009,18.067182904
Mexico,2009,4.827749307
Mauritius,2009,9.917631911
Malta,2009,9.157928477
Luxembourg,2009,10.229982801
Lithuania,2009,37.725878726
Latvia,2009,25.414763022
Kyrgyzstan,2009,9.541400303
Kuwait,2009,1.926932002
Kazakhstan,2009,26.707240146
Japan,2009,25.331131324
Jamaica,2009,1.401387296
Italy,2009,6.929159889
Israel,2009,6.001335446
Ireland,2009,12.798509447
Iceland,2009,12.153785904
Hungary,2009,25.801750051
Guyana,2009,23.278196835
Guatemala,2009,4.134322604
Grenada,2009,0
Greece,2009,3.647518037
Germany,2009,12.210542643
Georgia,2009,4.520589119
France,2009,17.864335760
Finland,2009,20.506449814
Fiji,2009,3.410269897
Estonia,2009,21.365993916
El Salvador,2009,9.151894316
Ecuador,2009,7.341874940
Denmark,2009,11.978146623
Czech Republic,2009,14.732213343
Cyprus,2009,4.171152828
Cuba,2009,13.793129210
Croatia,2009,18.737918194
Costa Rica,2009,6.733747386
Colombia,2009,5.427624795
Chile,2009,13.783235774
Canada,2009,12.180093675
Bulgaria,2009,12.022465389
Brazil,2009,5.204668580
Belize,2009,5.431063511
Belgium,2009,19.786961366
Belarus,2009,29.912860120
Barbados,2009,1.917780897
Bahrain,2009,3.293922165
Bahamas,2009,1.830311794
Austria,2009,16.081754708
Australia,2009,11.383720170
Aruba,2009,4.219631837
Armenia,2009,1.970483642
Argentina,2009,7.761450892
Antigua and Barbuda,2009,0
Albania,2009,0
Uruguay,2008,16.866664022
United States,2008,12.760506420
United Kingdom,2008,7.383410249
United Arab Emirates,2008,1.536013841
Ukraine,2008,21.556853076
Turkmenistan,2008,10.969745939
Trinidad and Tobago,2008,16.320357965
Thailand,2008,6.379949140
Switzerland,2008,18.062166017
Sweden,2008,13.466069648
Suriname,2008,31.627254518
Spain,2008,8.002410399
South Africa,2008,1.009601840
Slovenia,2008,20.990267307
Slovakia,2008,11.504619270
Singapore,2008,9.249325872
Seychelles,2008,4.825090470
Serbia,2008,18.444503080
Saint Vincent and Grenadines,2008,4.006972132
Saint Lucia,2008,0
Russian Federation,2008,28.433776213
Romania,2008,12.097601215
Republic of Korea,2008,27.298350526
Qatar,2008,2.518190108
Puerto Rico,2008,8.598918084
Portugal,2008,10.348292831
Poland,2008,15.668988455
Philippines,2008,2.286550280
Paraguay,2008,4.124731126
Panama,2008,5.894215936
Norway,2008,11.292261849
New Zealand,2008,13.103352694
Netherlands,2008,9.279702286
Montenegro,2008,21.357633574
Mexico,2008,4.543381942
Mauritius,2008,7.328193129
Malta,2008,3.587949615
Maldives,2008,0
Luxembourg,2008,9.340292938
Lithuania,2008,36.381426676
Latvia,2008,25.489364357
Kyrgyzstan,2008,10.083301286
Kuwait,2008,1.394909589
Kazakhstan,2008,28.116102268
Japan,2008,24.935739042
Italy,2008,6.847942438
Israel,2008,5.391737117
Ireland,2008,12.358970952
Iceland,2008,12.801681737
Hungary,2008,25.919145665
Guyana,2008,25.102614407
Guatemala,2008,4.088794998
Grenada,2008,0
Greece,2008,3.490312231
Germany,2008,12.024745271
France,2008,17.702590226
Finland,2008,20.577295733
Fiji,2008,4.909388609
Estonia,2008,19.145493886
El Salvador,2008,8.910246001
Ecuador,2008,7.192023860
Denmark,2008,11.680330846
Czech Republic,2008,13.929864194
Cyprus,2008,5.488371346
Cuba,2008,12.876603240
Croatia,2008,18.766641195
Costa Rica,2008,6.408743786
Colombia,2008,5.433302310
Chile,2008,13.544667335
Canada,2008,11.728899638
Bulgaria,2008,12.920517079
Brazil,2008,5.174911560
Belize,2008,4.097032631
Belgium,2008,19.790413678
Belarus,2008,28.873271107
Barbados,2008,0.385484207
Bahrain,2008,4.198767710
Bahamas,2008,1.244373100
Austria,2008,15.986861248
Australia,2008,11.635008443
Aruba,2008,4.218786255
Armenia,2008,2.068699881
Argentina,2008,8.327543889
Antigua and Barbuda,2008,0
Albania,2008,5.803285312
Uruguay,2007,18.653109483
United States,2007,12.326719816
United Kingdom,2007,6.791238699
United Arab Emirates,2007,1.773364383
Ukraine,2007,22.697514532
Turkmenistan,2007,8.151691464
Trinidad and Tobago,2007,10.790880964
Thailand,2007,6.369013842
Switzerland,2007,18.932024982
Sweden,2007,13.048780304
Suriname,2007,25.921069255
Spain,2007,7.671457246
South Africa,2007,0.935450862
Slovenia,2007,22.518175384
Slovakia,2007,0
Singapore,2007,9.676658013
Seychelles,2007,7.287655925
Serbia,2007,19.302072441
Saint Vincent and Grenadines,2007,11.034316725
Russian Federation,2007,30.530728816
Romania,2007,11.868116798
Republic of Korea,2007,26.004926240
Qatar,2007,3.675551041
Puerto Rico,2007,7.756972617
Portugal,2007,10.194176067
Poland,2007,14.552127033
Philippines,2007,2.176681577
Paraguay,2007,4.277233305
Panama,2007,5.521226371
Norway,2007,10.979386146
New Zealand,2007,12.552567051
Netherlands,2007,8.777727961
Montenegro,2007,20.604723079
Mexico,2007,4.272426377
Mauritius,2007,11.187130748
Malta,2007,6.708275173
Maldives,2007,1.636468370
Luxembourg,2007,17.256179039
Lithuania,2007,33.194434864
Latvia,2007,21.634498285
Kyrgyzstan,2007,10.324205764
Kuwait,2007,1.658580814
Kazakhstan,2007,29.315556444
Japan,2007,25.405123277
Italy,2007,6.639735649
Israel,2007,5.055193094
Ireland,2007,11.374058257
Iceland,2007,12.771303916
Hungary,2007,25.592978874
Guyana,2007,27.661979581
Guatemala,2007,2.792867375
Grenada,2007,3.177360249
Greece,2007,3.078774096
Germany,2007,11.943904397
Georgia,2007,2.503068666
France,2007,17.410212122
Finland,2007,19.904566107
Fiji,2007,1.744837629
Estonia,2007,19.757323394
El Salvador,2007,9.162632335
Ecuador,2007,7.927521784
Denmark,2007,11.318914608
Czech Republic,2007,14.045208460
Cyprus,2007,2.607862568
Cuba,2007,12.240093508
Croatia,2007,18.317810466
Costa Rica,2007,6.724378437
Colombia,2007,5.415242321
Chile,2007,12.121661337
Canada,2007,11.557925451
Bulgaria,2007,12.335086593
Brazil,2007,5.051536742
Belize,2007,3.069049784
Belgium,2007,18.513965632
Belarus,2007,28.763185200
Barbados,2007,0
Bahrain,2007,4.146065902
Bahamas,2007,1.587357019
Azerbaijan,2007,0.694348007
Austria,2007,16.271441581
Australia,2007,11.294980397
Aruba,2007,8.437572510
Armenia,2007,2.595681006
Argentina,2007,8.112240363
Antigua and Barbuda,2007,1.202920691
Albania,2007,4.475978434
Uruguay,2006,17.157089729
United States,2006,11.933435660
United Kingdom,2006,7.220035883
United Arab Emirates,2006,1.827827207
Ukraine,2006,22.470808707
Turkmenistan,2006,11.801336396
Trinidad and Tobago,2006,11.659628165
Thailand,2006,5.853673225
Switzerland,2006,18.388764900
Sweden,2006,13.957484360
Suriname,2006,24.708080645
Sri Lanka,2006,22.440751107
Spain,2006,7.766298655
South Africa,2006,1.166086652
Slovenia,2006,27.572619190
Slovakia,2006,0
Singapore,2006,10.903015915
Seychelles,2006,9.793000453
Serbia,2006,20.521029362
Saint Vincent and Grenadines,2006,6.032393956
Saint Lucia,2006,1.303271211
Russian Federation,2006,31.482564293
Romania,2006,13.255995488
Republic of Korea,2006,22.902799684
Qatar,2006,3.084811029
Puerto Rico,2006,7.573514534
Poland,2006,15.970515430
Philippines,2006,2.339219388
Paraguay,2006,4.805244034
Panama,2006,6.089614771
Norway,2006,12.168057340
New Zealand,2006,13.517673011
Netherlands,2006,9.922767037
Montenegro,2006,0
Mexico,2006,4.295775235
Mauritius,2006,10.486083279
Malta,2006,6.735088256
Luxembourg,2006,14.612619458
Lithuania,2006,33.559763092
Latvia,2006,23.023664261
Kyrgyzstan,2006,9.964543014
Kuwait,2006,2.077837645
Kazakhstan,2006,29.036145299
Japan,2006,24.663220162
Jamaica,2006,0
Italy,2006,6.585894879
Israel,2006,5.793683307
Ireland,2006,11.479137683
Iceland,2006,11.307460450
Hungary,2006,25.659178135
Guyana,2006,30.071453364
Guatemala,2006,2.614692431
Grenada,2006,1.062405711
Greece,2006,3.710368625
Germany,2006,12.400259732
Georgia,2006,1.728069123
France,2006,18.025248041
Finland,2006,21.326414632
Fiji,2006,3.253094845
Estonia,2006,19.313245994
El Salvador,2006,7.570393609
Ecuador,2006,7.229279159
Denmark,2006,12.719011596
Czech Republic,2006,14.314461522
Cyprus,2006,2.663205434
Cuba,2006,12.915775813
Croatia,2006,18.795989370
Costa Rica,2006,8.851983704
Colombia,2006,5.482429079
Chile,2006,11.909820300
Canada,2006,11.364606409
Bulgaria,2006,13.277148031
Brazil,2006,4.982230872
Belize,2006,4.350818349
Belgium,2006,19.422441824
Barbados,2006,3.503540522
Bahrain,2006,3.151226221
Bahamas,2006,0.648300319
Austria,2006,16.481835860
Australia,2006,11.078406757
Aruba,2006,9.523003344
Armenia,2006,2.821592854
Argentina,2006,8.652829601
Antigua and Barbuda,2006,0
Albania,2006,0
Uzbekistan,2005,5.173652743
Uruguay,2005,16.220557896
United States,2005,11.817533716
United Kingdom,2005,7.123868208
United Arab Emirates,2005,2.242763758
Ukraine,2005,23.634117777
Turkmenistan,2005,11.005213367
Trinidad and Tobago,2005,11.281897283
Thailand,2005,6.434829212
Switzerland,2005,18.368236046
Sweden,2005,14.276304941
Suriname,2005,16.091363184
Spain,2005,8.250905397
South Africa,2005,1.051275938
Slovenia,2005,26.310049550
Slovakia,2005,13.243751738
Singapore,2005,10.740785065
Seychelles,2005,6.180469716
Serbia,2005,20.357042984
San Marino,2005,3.538069629
Saint Vincent and Grenadines,2005,8.071187877
Saint Lucia,2005,2.646045155
Russian Federation,2005,33.637825349
Romania,2005,12.654375604
Republic of Korea,2005,26.024939740
Qatar,2005,2.134021576
Puerto Rico,2005,8.246307209
Poland,2005,16.620217581
Paraguay,2005,4.662089236
Panama,2005,5.776473966
Norway,2005,12.295010117
New Zealand,2005,13.353146562
Netherlands,2005,10.273752423
Montenegro,2005,20.232086031
Mexico,2005,4.418484076
Mauritius,2005,9.156670635
Malta,2005,4.946486823
Maldives,2005,0.346097406
Luxembourg,2005,11.204148736
Lithuania,2005,41.546866377
Latvia,2005,26.381879578
Kyrgyzstan,2005,10.185212675
Kuwait,2005,2.520640165
Kazakhstan,2005,27.982967887
Japan,2005,25.169590152
Jamaica,2005,2.050524110
Italy,2005,6.773501670
Israel,2005,6.831851732
Ireland,2005,11.765144754
Iceland,2005,12.003098982
Hungary,2005,27.255859463
Guyana,2005,25.310427147
Guatemala,2005,2.143196890
Grenada,2005,6.404440412
Greece,2005,3.779712319
Germany,2005,13.024523364
Georgia,2005,2.105517909
France,2005,18.741902105
Finland,2005,20.033117121
Fiji,2005,3.002974310
Estonia,2005,21.187509459
El Salvador,2005,8.459011627
Ecuador,2005,7.718346329
Denmark,2005,12.397217051
Czech Republic,2005,16.031989402
Cyprus,2005,2.424197484
Cuba,2005,13.158878815
Croatia,2005,20.633281199
Costa Rica,2005,6.997511767
Colombia,2005,5.365969593
Chile,2005,11.293461193
Canada,2005,12.233189496
Bulgaria,2005,13.263009669
Brazil,2005,5.002816687
Belize,2005,4.897559383
Belgium,2005,20.492850530
Barbados,2005,0.390794446
Bahrain,2005,5.124826122
Bahamas,2005,1.325543556
Austria,2005,17.872973114
Aruba,2005,10.669170365
Argentina,2005,8.601819766
Antigua and Barbuda,2005,0
Albania,2005,0
Uzbekistan,2004,5.368904925
Uruguay,2004,16.957504168
United States,2004,11.853026449
United Kingdom,2004,7.409439704
Ukraine,2004,24.835168045
Turkmenistan,2004,9.308952743
Trinidad and Tobago,2004,13.998646797
Thailand,2004,7.079019206
Switzerland,2004,18.282353001
Sweden,2004,13.565391175
Suriname,2004,15.168082732
Spain,2004,8.649805972
South Africa,2004,0.890576018
Slovenia,2004,26.836322543
Slovakia,2004,13.200005467
Singapore,2004,10.209057110
Seychelles,2004,7.524926318
Serbia,2004,18.980114485
Saint Vincent and Grenadines,2004,4.051043144
Saint Lucia,2004,5.364770891
Russian Federation,2004,35.817751117
Romania,2004,13.196985828
Republic of Korea,2004,25.102681369
Qatar,2004,3.012087075
Puerto Rico,2004,7.945408494
Poland,2004,16.694345775
Paraguay,2004,4.654585035
Panama,2004,6.373239521
Norway,2004,12.296720565
New Zealand,2004,13.017717245
Netherlands,2004,9.917553946
Montenegro,2004,0
Mexico,2004,4.260814453
Mauritius,2004,8.793472161
Malta,2004,6.300568626
Maldives,2004,0.356473197
Luxembourg,2004,14.414313879
Lithuania,2004,42.817662844
Latvia,2004,26.022925134
Kyrgyzstan,2004,9.579470015
Kuwait,2004,2.254411884
